Dataset,K,Tau,SupportType,RunNumber,ExecutionTime_ms,Phase1_ms,Phase2_ms,Phase3_ms,Memory_MB,Peak_Memory_MB,Phase1_Memory_MB,Phase2_Memory_MB,Phase3_Memory_MB,Patterns_Found
Chess,30,0.7,recursive,2,962,1,2,3,208.00,220.29,16.00,192.00,0.00,30
Chess,30,0.7,recursive,3,933,1,2,3,208.00,220.29,16.00,192.00,0.00,30
Chess,30,0.7,recursive,4,958,1,2,3,208.00,220.29,16.00,192.00,0.00,30
Chess,30,0.7,recursive,5,955,1,2,3,208.00,220.29,16.00,192.00,0.00,30
Chess,30,0.7,parallel,1,880,1,2,3,216.00,228.30,20.00,196.00,0.00,30
Chess,30,0.7,parallel,2,707,1,2,3,216.00,228.30,24.00,192.00,0.00,30
Chess,30,0.7,parallel,3,869,1,2,3,216.00,228.30,20.00,196.00,0.00,30
Chess,30,0.7,parallel,4,734,1,2,3,216.00,228.30,20.00,196.00,0.00,30
Chess,30,0.7,parallel,5,734,1,2,3,216.00,228.30,20.00,196.00,0.00,30
Chess,30,0.7,fft,1,13171,1,2,3,4935.30,4947.60,568.25,1051.05,0.00,30
Chess,30,0.7,fft,2,13143,1,2,3,4935.33,4947.63,560.20,1055.14,0.00,30
Chess,30,0.7,fft,3,13073,1,2,3,4935.31,4947.60,564.19,1059.12,0.00,30
Chess,30,0.7,fft,4,13597,1,2,3,4936.41,4948.71,564.19,1056.23,0.00,30
Chess,30,0.7,fft,5,13215,1,2,3,4936.00,4948.29,568.32,1059.68,0.00,30
Chess,30,0.7,parallelfft,1,10004,1,2,3,4933.57,4945.88,1276.40,1081.17,0.00,30
Chess,30,0.7,parallelfft,2,10032,1,2,3,4930.76,4943.06,1276.28,1082.48,0.00,30
Chess,30,0.7,parallelfft,3,11544,1,2,3,4931.56,4943.86,1272.34,1087.21,0.00,30
Chess,30,0.7,parallelfft,4,10478,1,2,3,4930.75,4943.05,1272.28,1086.47,0.00,30
Chess,30,0.7,parallelfft,5,9823,1,2,3,4929.97,4942.27,1272.37,1081.60,0.00,30
Chess,40,0.7,direct,1,2517,1,2,3,84.00,96.29,0.00,72.00,12.00,40
Chess,40,0.7,direct,2,2579,1,2,3,84.00,96.29,0.00,72.00,12.00,40
Chess,40,0.7,direct,3,2453,1,2,3,84.00,96.29,0.00,72.00,12.00,40
Chess,40,0.7,direct,4,2571,1,2,3,84.00,96.29,0.00,72.00,12.00,40
Chess,40,0.7,direct,5,2540,1,2,3,84.00,96.29,0.00,72.00,12.00,40
