Dataset,K,Tau,SupportType,RunNumber,ExecutionTime_ms,Phase1_ms,Phase2_ms,Phase3_ms,Memory_MB,Peak_Memory_MB,Phase1_Memory_MB,Phase2_Memory_MB,Phase3_Memory_MB,Patterns_Found
Chainstore,20,0.7,parallel,2,11463,1,2,3,1218.00,2202.95,922.00,472.00,0.00,20
Chainstore,20,0.7,parallel,3,11217,1,2,3,848.00,1833.11,565.79,60.00,0.00,20
Chainstore,20,0.7,fft,1,89047,1,2,3,5329.26,6313.90,2426.89,141.63,0.00,20
Chainstore,20,0.7,fft,2,88084,1,2,3,5327.27,6312.57,2454.90,143.63,0.00,20
Chainstore,20,0.7,fft,3,88712,1,2,3,5329.24,6313.69,2420.88,139.64,0.00,20
Chainstore,20,0.7,parallelfft,1,70301,1,2,3,5327.24,6312.30,2626.88,139.64,0.00,20
Chainstore,20,0.7,parallelfft,2,69742,1,2,3,5325.25,6309.70,2632.22,134.97,0.00,20
Chainstore,20,0.7,parallelfft,3,69969,1,2,3,5327.25,6311.53,2610.89,131.64,0.00,20
Chainstore,25,0.7,direct,1,23741,1,2,3,560.00,1545.03,520.00,40.00,0.00,25
Chainstore,25,0.7,direct,2,23415,1,2,3,560.00,1544.48,524.00,36.00,0.00,25
Chainstore,25,0.7,direct,3,23516,1,2,3,560.00,1544.86,524.00,36.00,0.00,25
Chainstore,25,0.7,recursive,1,13775,1,2,3,888.00,1872.53,499.73,80.00,0.00,25
Chainstore,25,0.7,recursive,2,13717,1,2,3,1182.00,2166.25,406.00,80.00,0.00,25
Chainstore,25,0.7,recursive,3,13658,1,2,3,880.00,1864.63,508.00,80.00,0.00,25
Chainstore,25,0.7,parallel,1,11178,1,2,3,880.00,1864.74,539.73,80.00,0.00,25
Chainstore,25,0.7,parallel,2,11565,1,2,3,876.00,1860.22,543.73,76.00,0.00,25
Chainstore,25,0.7,parallel,3,11144,1,2,3,860.00,1844.72,547.79,84.00,0.00,25
Chainstore,25,0.7,fft,1,88627,1,2,3,5331.23,6316.23,2424.87,1274.37,0.00,25
Chainstore,25,0.7,fft,2,90257,1,2,3,5393.91,6378.61,2440.25,1880.33,0.00,25
Chainstore,25,0.7,fft,3,90051,1,2,3,5397.24,6381.62,2424.89,1905.66,0.00,25
Chainstore,25,0.7,parallelfft,1,71928,1,2,3,5334.84,6319.48,1750.48,1284.36,4.00,25
Chainstore,25,0.7,parallelfft,2,71071,1,2,3,5608.00,6592.98,2642.89,1968.89,0.00,25
Chainstore,25,0.7,parallelfft,3,70758,1,2,3,5392.49,6376.80,2650.89,2044.40,0.00,25
