Dataset,K,Tau,SupportType,RunNumber,ExecutionTime_ms,Phase1_ms,Phase2_ms,Phase3_ms,Memory_MB,Peak_Memory_MB,Phase1_Memory_MB,Phase2_Memory_MB,Phase3_Memory_MB,Patterns_Found
Mushrooms,30,0.7,direct,3,4446,1,2,3,72.00,91.28,0.00,52.00,20.00,30
Mushrooms,30,0.7,direct,4,3942,1,2,3,72.00,91.28,0.00,52.00,20.00,30
Mushrooms,30,0.7,direct,5,4027,1,2,3,72.00,91.28,0.00,52.00,20.00,30
Mushrooms,30,0.7,recursive,1,2126,1,2,3,312.00,331.28,28.00,200.00,84.00,30
Mushrooms,30,0.7,recursive,2,2159,1,2,3,312.00,331.28,28.00,200.00,84.00,30
Mushrooms,30,0.7,recursive,3,2109,1,2,3,312.00,331.28,28.00,200.00,84.00,30
Mushrooms,30,0.7,recursive,4,2139,1,2,3,312.00,331.28,28.00,200.00,84.00,30
Mushrooms,30,0.7,recursive,5,2271,1,2,3,312.00,331.28,28.00,200.00,84.00,30
Mushrooms,30,0.7,parallel,1,1660,1,2,3,320.00,339.29,36.00,200.00,84.00,30
Mushrooms,30,0.7,parallel,2,1708,1,2,3,320.00,339.29,36.00,200.00,84.00,30
Mushrooms,30,0.7,parallel,3,1631,1,2,3,320.00,339.29,36.00,200.00,84.00,30
Mushrooms,30,0.7,parallel,4,1680,1,2,3,320.00,339.29,36.00,200.00,84.00,30
Mushrooms,30,0.7,parallel,5,1700,1,2,3,324.00,343.29,36.00,196.00,92.00,30
Mushrooms,30,0.7,fft,1,20615,1,2,3,4946.03,4965.31,2680.46,984.85,384.72,30
Mushrooms,30,0.7,fft,2,20671,1,2,3,4945.35,4964.64,2676.45,980.21,384.70,30
Mushrooms,30,0.7,fft,3,20645,1,2,3,4945.35,4964.64,2680.46,980.85,384.04,30
Mushrooms,30,0.7,fft,4,20527,1,2,3,4946.03,4965.32,2684.47,984.85,384.72,30
Mushrooms,30,0.7,fft,5,21270,1,2,3,4945.35,4964.64,2680.47,981.51,383.38,30
Mushrooms,30,0.7,parallelfft,1,15435,1,2,3,4945.98,4965.27,3332.31,1012.31,397.36,30
Mushrooms,30,0.7,parallelfft,2,15863,1,2,3,4945.32,4964.61,3336.68,1007.94,400.70,30
Mushrooms,30,0.7,parallelfft,3,16201,1,2,3,4945.32,4964.61,3344.92,1007.69,404.70,30
Mushrooms,30,0.7,parallelfft,4,15719,1,2,3,4948.00,4967.29,3340.62,1003.38,404.00,30
Mushrooms,30,0.7,parallelfft,5,15768,1,2,3,4945.98,4965.27,3328.33,1010.78,398.88,30
Mushrooms,40,0.7,direct,1,4629,1,2,3,108.00,127.28,0.00,72.00,36.00,40
Mushrooms,40,0.7,direct,2,4691,1,2,3,108.00,127.28,0.00,72.00,36.00,40
Mushrooms,40,0.7,direct,3,4645,1,2,3,108.00,127.28,0.00,72.00,36.00,40
Mushrooms,40,0.7,direct,4,4694,1,2,3,108.00,127.28,0.00,72.00,36.00,40
Mushrooms,40,0.7,direct,5,4713,1,2,3,108.00,127.28,0.00,72.00,36.00,40
Mushrooms,40,0.7,recursive,1,2778,1,2,3,461.85,481.14,28.00,264.00,202.15,40
Mushrooms,40,0.7,recursive,2,2677,1,2,3,461.66,480.95,28.00,264.00,202.34,40
Mushrooms,40,0.7,recursive,3,2812,1,2,3,462.84,482.12,28.00,264.00,201.16,40
Mushrooms,40,0.7,recursive,4,2959,1,2,3,461.73,481.02,28.00,264.00,202.27,40
Mushrooms,40,0.7,recursive,5,2697,1,2,3,462.39,481.68,28.00,264.00,201.61,40
Mushrooms,40,0.7,parallel,1,2127,1,2,3,460.81,480.11,36.00,268.00,203.19,40
Mushrooms,40,0.7,parallel,2,2240,1,2,3,460.75,480.04,36.00,264.00,195.25,40
Mushrooms,40,0.7,parallel,3,2110,1,2,3,460.89,480.19,36.00,268.00,203.11,40
Mushrooms,40,0.7,parallel,4,2085,1,2,3,461.21,480.51,36.00,264.00,194.79,40
Mushrooms,40,0.7,parallel,5,2153,1,2,3,460.81,480.11,36.00,264.00,195.19,40
Mushrooms,40,0.7,fft,1,29714,1,2,3,4966.34,4985.63,2684.46,2368.46,2134.34,40
Mushrooms,40,0.7,fft,2,28746,1,2,3,4968.00,4987.28,2676.46,2364.46,2132.00,40
Mushrooms,40,0.7,fft,3,28693,1,2,3,4969.17,4988.45,2676.45,2368.45,2137.17,40
Mushrooms,40,0.7,fft,4,29203,1,2,3,4968.00,4987.28,2676.47,2369.07,2136.60,40
Mushrooms,40,0.7,fft,5,29089,1,2,3,4968.00,4987.28,2676.46,2364.46,2132.00,40
Mushrooms,40,0.7,parallelfft,1,22964,1,2,3,4963.44,4982.74,3344.93,2326.30,2152.81,40
Mushrooms,40,0.7,parallelfft,2,21829,1,2,3,4967.44,4986.73,3336.63,2329.34,2164.15,40
Mushrooms,40,0.7,parallelfft,3,21624,1,2,3,4967.44,4986.74,3332.63,2328.68,2151.49,40
Mushrooms,40,0.7,parallelfft,4,21622,1,2,3,4967.15,4986.44,3340.62,2316.67,2155.20,40
Mushrooms,40,0.7,parallelfft,5,23208,1,2,3,4963.43,4982.73,3336.64,2329.35,2152.15,40
Mushrooms,50,0.7,direct,1,5649,1,2,3,144.00,163.28,0.00,84.00,60.00,50
Mushrooms,50,0.7,direct,2,5637,1,2,3,144.00,163.28,0.00,84.00,60.00,50
Mushrooms,50,0.7,direct,3,5639,1,2,3,144.00,163.28,0.00,84.00,60.00,50
Mushrooms,50,0.7,direct,4,5602,1,2,3,144.00,163.28,0.00,84.00,60.00,50
Mushrooms,50,0.7,direct,5,5574,1,2,3,144.00,163.28,0.00,84.00,60.00,50
Mushrooms,50,0.7,recursive,1,3194,1,2,3,462.39,481.67,28.00,316.00,117.61,50
Mushrooms,50,0.7,recursive,2,3299,1,2,3,462.50,481.78,28.00,316.00,117.50,50
Mushrooms,50,0.7,recursive,3,3178,1,2,3,462.97,482.25,28.00,316.00,117.03,50
