Dataset,K,Tau,ParallelMode,RunNumber,ExecutionTime_ms,Phase1_ms,Phase2_ms,Phase3_ms,Memory_MB,Peak_Memory_MB,Phase1_Memory_MB,Phase2_Memory_MB,Phase3_Memory_MB,Patterns_Found
Mushrooms,300,0.7,onlyClosure,2,4573,1,2,3,806.60,825.89,28.00,58.53,448.07,300
Mushrooms,300,0.7,onlyClosure,3,4711,1,2,3,808.00,827.28,28.00,54.51,449.49,300
Mushrooms,300,0.7,onlyClosure,4,4642,1,2,3,808.00,827.28,28.00,57.84,450.16,300
Mushrooms,300,0.7,onlyClosure,5,4753,1,2,3,811.31,830.60,28.00,54.13,453.18,300
Mushrooms,300,0.7,onlySupport,1,8702,1,2,3,809.30,828.59,36.00,50.02,455.28,300
Mushrooms,300,0.7,onlySupport,2,8693,1,2,3,801.31,820.60,36.00,50.43,454.88,300
Mushrooms,300,0.7,onlySupport,3,8982,1,2,3,809.29,828.58,36.00,49.96,459.33,300
Mushrooms,300,0.7,onlySupport,4,8688,1,2,3,801.29,820.59,36.00,53.36,455.94,300
Mushrooms,300,0.7,onlySupport,5,8588,1,2,3,804.00,823.29,36.00,49.89,446.11,300
Mushrooms,400,0.7,default,1,11629,1,2,3,870.68,889.97,28.00,43.30,663.38,400
Mushrooms,400,0.7,default,2,11595,1,2,3,870.68,889.96,28.00,43.32,663.36,400
Mushrooms,400,0.7,default,3,11660,1,2,3,868.00,887.28,28.00,43.77,660.23,400
Mushrooms,400,0.7,default,4,11699,1,2,3,869.33,888.62,28.00,43.58,661.76,400
Mushrooms,400,0.7,default,5,11682,1,2,3,870.66,889.95,28.00,43.62,663.04,400
Mushrooms,400,0.7,onlyPhase1,1,11566,1,2,3,871.33,890.61,36.00,42.59,664.74,400
Mushrooms,400,0.7,onlyPhase1,2,11843,1,2,3,873.34,892.62,32.00,46.48,666.86,400
Mushrooms,400,0.7,onlyPhase1,3,11439,1,2,3,864.00,883.28,36.00,42.49,657.51,400
Mushrooms,400,0.7,onlyPhase1,4,11460,1,2,3,866.00,885.28,32.00,42.94,659.06,400
Mushrooms,400,0.7,onlyPhase1,5,11558,1,2,3,869.33,888.62,36.00,42.31,663.02,400
Mushrooms,400,0.7,onlyClosure,1,5207,1,2,3,871.31,890.59,28.00,54.54,696.77,400
Mushrooms,400,0.7,onlyClosure,2,5319,1,2,3,868.00,887.28,28.00,54.37,693.63,400
Mushrooms,400,0.7,onlyClosure,3,5142,1,2,3,861.32,880.60,28.00,54.77,686.54,400
Mushrooms,400,0.7,onlyClosure,4,5326,1,2,3,865.30,884.59,28.00,57.75,687.55,400
Mushrooms,400,0.7,onlyClosure,5,5211,1,2,3,863.32,882.60,28.00,57.92,689.40,400
Mushrooms,400,0.7,onlySupport,1,10070,1,2,3,863.91,883.20,36.00,49.55,706.36,400
Mushrooms,400,0.7,onlySupport,2,9936,1,2,3,863.95,883.24,40.00,45.64,702.31,400
Mushrooms,400,0.7,onlySupport,3,10047,1,2,3,865.32,884.61,36.00,50.08,703.24,400
Mushrooms,400,0.7,onlySupport,4,10006,1,2,3,868.00,887.29,36.00,50.29,705.71,400
Mushrooms,400,0.7,onlySupport,5,10024,1,2,3,861.31,880.60,36.00,49.95,699.35,400
Mushrooms,500,0.7,default,1,13791,1,2,3,1061.33,1080.62,28.00,43.46,617.87,500
Mushrooms,500,0.7,default,2,13679,1,2,3,1052.00,1071.28,28.00,43.60,608.40,500
Mushrooms,500,0.7,default,3,13559,1,2,3,1053.32,1072.61,28.00,43.31,610.02,500
Mushrooms,500,0.7,default,4,13655,1,2,3,1060.00,1079.28,28.00,43.35,616.65,500
Mushrooms,500,0.7,default,5,13567,1,2,3,1046.67,1065.96,28.00,43.38,619.29,500
Mushrooms,500,0.7,onlyPhase1,1,13505,1,2,3,1062.69,1081.97,36.00,42.97,615.71,500
Mushrooms,500,0.7,onlyPhase1,2,13639,1,2,3,1069.34,1088.62,32.00,47.20,606.14,500
Mushrooms,500,0.7,onlyPhase1,3,13596,1,2,3,1053.35,1072.63,36.00,42.49,618.86,500
Mushrooms,500,0.7,onlyPhase1,4,13372,1,2,3,1064.00,1083.28,32.00,43.75,612.25,500
Mushrooms,500,0.7,onlyPhase1,5,13519,1,2,3,1052.00,1071.28,32.00,46.72,605.28,500
Mushrooms,500,0.7,onlyClosure,1,6285,1,2,3,1008.00,1027.28,28.00,58.00,682.00,500
Mushrooms,500,0.7,onlyClosure,2,6157,1,2,3,987.93,1007.22,28.00,54.39,685.54,500
Mushrooms,500,0.7,onlyClosure,3,5908,1,2,3,1011.94,1031.22,28.00,54.08,669.86,500
Mushrooms,500,0.7,onlyClosure,4,5982,1,2,3,1010.64,1029.93,28.00,58.11,668.53,500
Mushrooms,500,0.7,onlyClosure,5,5981,1,2,3,1008.00,1027.28,28.00,54.15,681.85,500
Mushrooms,500,0.7,onlySupport,1,13389,1,2,3,987.33,1006.62,36.00,50.02,757.31,500
Mushrooms,500,0.7,onlySupport,2,13546,1,2,3,982.63,1001.92,36.00,49.66,740.97,500
Mushrooms,500,0.7,onlySupport,3,13363,1,2,3,986.00,1005.29,36.00,49.65,752.35,500
Mushrooms,500,0.7,onlySupport,4,11684,1,2,3,980.00,999.29,32.00,49.88,738.12,500
Mushrooms,500,0.7,onlySupport,5,11887,1,2,3,981.31,1000.61,36.00,50.42,742.89,500
