Dataset,K,Tau,ParallelMode,RunNumber,ExecutionTime_ms,Phase1_ms,Phase2_ms,Phase3_ms,Memory_MB,Peak_Memory_MB,Phase1_Memory_MB,Phase2_Memory_MB,Phase3_Memory_MB,Patterns_Found
Kosarak,15,0.7,onlyClosure,2,448989,1,2,3,1094.00,2037.49,569.64,296.36,408.00,15
Kosarak,15,0.7,onlyClosure,3,447944,1,2,3,1467.46,2410.79,594.82,732.00,76.00,15
Kosarak,15,0.7,onlyClosure,4,448263,1,2,3,1473.71,2416.84,603.41,732.00,76.00,15
Kosarak,15,0.7,onlyClosure,5,448078,1,2,3,1086.00,2030.28,593.77,300.23,432.00,15
Kosarak,15,0.7,onlySupport,1,346115,1,2,3,1020.00,1964.01,621.40,226.60,76.00,15
Kosarak,15,0.7,onlySupport,2,353670,1,2,3,1090.00,2033.10,620.00,250.00,396.00,15
Kosarak,15,0.7,onlySupport,3,349982,1,2,3,1106.00,2050.65,595.19,234.81,386.00,15
Kosarak,15,0.7,onlySupport,4,353767,1,2,3,1122.00,2066.83,597.03,230.97,346.58,15
Kosarak,15,0.7,onlySupport,5,343884,1,2,3,1038.00,1982.24,589.16,220.84,80.00,15
Kosarak,20,0.7,default,1,456141,1,2,3,1569.72,2512.58,575.40,772.00,160.00,20
Kosarak,20,0.7,default,2,454708,1,2,3,1564.00,2509.48,564.00,772.00,160.00,20
Kosarak,20,0.7,default,3,452300,1,2,3,1074.00,2018.96,593.63,127.63,156.00,20
Kosarak,20,0.7,default,4,453326,1,2,3,1086.00,2030.76,605.77,138.11,160.00,20
Kosarak,20,0.7,default,5,452675,1,2,3,1156.00,2101.22,632.00,364.00,160.00,20
Kosarak,20,0.7,onlyPhase1,1,461443,1,2,3,1100.00,2043.95,880.00,409.92,160.00,20
Kosarak,20,0.7,onlyPhase1,2,452052,1,2,3,1131.40,2075.72,424.92,146.47,156.00,20
Kosarak,20,0.7,onlyPhase1,3,452747,1,2,3,1174.00,2119.02,334.00,111.36,160.00,20
Kosarak,20,0.7,onlyPhase1,4,452438,1,2,3,1154.00,2097.45,390.95,135.05,156.00,20
Kosarak,20,0.7,onlyPhase1,5,458435,1,2,3,1108.00,2053.22,899.40,398.71,156.00,20
Kosarak,20,0.7,onlyClosure,1,455010,1,2,3,1677.71,2621.58,597.10,860.00,160.00,20
Kosarak,20,0.7,onlyClosure,2,455015,1,2,3,1196.00,2141.19,607.38,428.62,160.00,20
Kosarak,20,0.7,onlyClosure,3,462653,1,2,3,1100.00,2044.52,592.00,18.34,160.00,20
Kosarak,20,0.7,onlyClosure,4,453714,1,2,3,1727.55,2669.58,647.55,856.00,160.00,20
Kosarak,20,0.7,onlyClosure,5,451617,1,2,3,1719.53,2661.23,643.53,856.00,160.00,20
Kosarak,20,0.7,onlySupport,1,353641,1,2,3,1589.64,2534.02,585.17,780.00,160.00,20
Kosarak,20,0.7,onlySupport,2,357960,1,2,3,1587.28,2530.96,578.79,780.00,160.00,20
Kosarak,20,0.7,onlySupport,3,348305,1,2,3,1571.61,2515.08,565.37,776.00,164.00,20
Kosarak,20,0.7,onlySupport,4,373465,1,2,3,1068.00,2012.77,637.11,121.11,156.00,20
Kosarak,20,0.7,onlySupport,5,365305,1,2,3,1078.00,2022.90,631.38,118.01,156.00,20
Kosarak,25,0.7,default,1,459098,1,2,3,1098.00,2042.12,575.26,25.91,248.00,25
Kosarak,25,0.7,default,2,457501,1,2,3,1106.00,2049.58,589.07,27.07,248.00,25
Kosarak,25,0.7,default,3,458776,1,2,3,1112.00,2055.60,575.64,19.64,252.00,25
Kosarak,25,0.7,default,4,456780,1,2,3,1775.40,2718.85,573.10,884.00,252.00,25
Kosarak,25,0.7,default,5,466711,1,2,3,1316.00,2259.04,621.11,438.89,256.00,25
Kosarak,25,0.7,onlyPhase1,1,456645,1,2,3,1514.00,2457.31,901.32,297.16,256.00,25
Kosarak,25,0.7,onlyPhase1,2,456739,1,2,3,1492.00,2435.88,888.00,285.00,256.00,25
Kosarak,25,0.7,onlyPhase1,3,459576,1,2,3,1186.00,2129.50,891.39,381.30,248.00,25
