Dataset,K,Tau,ParallelMode,RunNumber,ExecutionTime_ms,Phase1_ms,Phase2_ms,Phase3_ms,Memory_MB,Peak_Memory_MB,Phase1_Memory_MB,Phase2_Memory_MB,Phase3_Memory_MB,Patterns_Found
Chainstore,300,0.7,onlyClosure,1,25858,1,2,3,3428.00,4412.40,526.00,2872.00,12.00,300
Chainstore,300,0.7,onlyClosure,2,25454,1,2,3,1856.00,2840.17,491.94,768.06,4.00,300
Chainstore,300,0.7,onlyClosure,3,25640,1,2,3,3444.00,4428.53,539.57,2872.00,8.00,300
Chainstore,300,0.7,onlyClosure,4,25821,1,2,3,3438.00,4422.85,531.79,2872.00,8.00,300
Chainstore,300,0.7,onlyClosure,5,25800,1,2,3,3458.00,4442.60,551.79,2872.00,4.00,300
Chainstore,300,0.7,onlySupport,1,20614,1,2,3,2216.00,3200.68,556.00,1616.00,8.00,300
Chainstore,300,0.7,onlySupport,2,20557,1,2,3,2232.00,3216.98,580.00,1608.00,4.00,300
Chainstore,300,0.7,onlySupport,3,21077,1,2,3,1818.00,2804.17,561.58,644.42,4.00,300
Chainstore,300,0.7,onlySupport,4,20770,1,2,3,2242.00,3226.93,587.71,1612.00,4.00,300
Chainstore,300,0.7,onlySupport,5,20925,1,2,3,2228.00,3212.73,576.00,1608.00,4.00,300
Chainstore,400,0.7,default,1,27409,1,2,3,2766.00,3750.71,529.79,2200.00,12.00,400
Chainstore,400,0.7,default,2,27528,1,2,3,2764.00,3748.09,528.00,2200.00,12.00,400
Chainstore,400,0.7,default,3,27465,1,2,3,2766.00,3750.36,531.79,2200.00,12.00,400
Chainstore,400,0.7,default,4,27981,1,2,3,2766.00,3750.44,527.79,2196.00,16.00,400
Chainstore,400,0.7,default,5,27484,1,2,3,1658.00,2642.25,483.94,414.06,12.00,400
Chainstore,400,0.7,onlyPhase1,1,24868,1,2,3,1928.00,2913.08,887.79,83.79,12.00,400
Chainstore,400,0.7,onlyPhase1,2,24977,1,2,3,1696.00,2680.30,871.57,80.43,12.00,400
Chainstore,400,0.7,onlyPhase1,3,24739,1,2,3,1755.54,2740.54,855.58,51.96,12.00,400
Chainstore,400,0.7,onlyPhase1,4,24792,1,2,3,1597.30,2581.45,887.58,141.72,16.00,400
Chainstore,400,0.7,onlyPhase1,5,24795,1,2,3,1718.99,2704.11,891.59,59.41,12.00,400
Chainstore,400,0.7,onlyClosure,1,31250,1,2,3,4474.00,5458.29,539.79,3892.00,12.00,400
Chainstore,400,0.7,onlyClosure,2,29919,1,2,3,2022.00,3007.11,918.00,696.00,16.00,400
Chainstore,400,0.7,onlyClosure,3,30982,1,2,3,2704.00,3688.60,536.00,1106.00,16.00,400
Chainstore,400,0.7,onlyClosure,4,32184,1,2,3,4746.00,5730.49,536.00,208.00,12.00,400
Chainstore,400,0.7,onlyClosure,5,31128,1,2,3,4460.00,5444.63,528.00,3888.00,16.00,400
Chainstore,400,0.7,onlySupport,1,25000,1,2,3,2816.00,3800.82,560.00,2204.00,16.00,400
Chainstore,400,0.7,onlySupport,2,24611,1,2,3,2376.00,3360.73,544.00,184.00,12.00,400
Chainstore,400,0.7,onlySupport,3,24815,1,2,3,2788.00,3772.47,536.00,2208.00,16.00,400
Chainstore,400,0.7,onlySupport,4,25118,1,2,3,2814.00,3798.34,559.79,2208.00,12.00,400
Chainstore,400,0.7,onlySupport,5,24967,1,2,3,2786.00,3770.76,543.79,2204.00,12.00,400
Chainstore,500,0.7,default,1,32909,1,2,3,3746.00,4730.66,511.86,374.14,56.00,500
Chainstore,500,0.7,default,2,32338,1,2,3,3408.00,4392.35,509.86,2824.00,56.00,500
Chainstore,500,0.7,default,3,32375,1,2,3,3416.00,4401.04,516.00,2820.00,60.00,500
Chainstore,500,0.7,default,4,31770,1,2,3,3394.00,4378.93,505.73,2820.00,56.00,500
Chainstore,500,0.7,default,5,32198,1,2,3,3422.00,4406.41,525.58,2824.00,56.00,500
Chainstore,500,0.7,onlyPhase1,1,29126,1,2,3,1713.60,2697.89,861.79,663.81,60.00,500
Chainstore,500,0.7,onlyPhase1,2,29281,1,2,3,1879.24,2864.74,856.00,459.24,60.00,500
Chainstore,500,0.7,onlyPhase1,3,29230,1,2,3,1639.35,2623.57,899.71,575.64,56.00,500
Chainstore,500,0.7,onlyPhase1,4,30723,1,2,3,1901.81,2886.35,855.58,542.23,56.00,500
Chainstore,500,0.7,onlyPhase1,5,30383,1,2,3,1742.00,2726.34,869.58,3.58,56.00,500
Chainstore,500,0.7,onlyClosure,1,36058,1,2,3,2444.00,3428.74,499.72,844.28,64.00,500
Chainstore,500,0.7,onlyClosure,2,35682,1,2,3,2218.00,3202.76,515.86,902.14,56.00,500
Chainstore,500,0.7,onlyClosure,3,35664,1,2,3,1903.19,2888.12,525.73,789.46,56.00,500
Chainstore,500,0.7,onlyClosure,4,39168,1,2,3,6152.00,7136.59,531.79,284.21,60.00,500
Chainstore,500,0.7,onlyClosure,5,38787,1,2,3,6188.00,7172.35,526.00,358.00,56.00,500
Chainstore,500,0.7,onlySupport,1,30340,1,2,3,3486.00,4470.62,562.00,2832.00,60.00,500
Chainstore,500,0.7,onlySupport,2,28853,1,2,3,2300.00,3285.02,519.73,1002.27,678.00,500
Chainstore,500,0.7,onlySupport,3,29365,1,2,3,1642.00,2627.13,455.87,986.13,56.00,500
Chainstore,500,0.7,onlySupport,4,30091,1,2,3,3472.00,4456.60,547.58,2836.00,60.00,500
Chainstore,500,0.7,onlySupport,5,33199,1,2,3,3454.00,4438.59,535.86,2832.00,60.00,500
