Dataset,K,Tau,ParallelMode,RunNumber,ExecutionTime_ms,Phase1_ms,Phase2_ms,Phase3_ms,Memory_MB,Peak_Memory_MB,Phase1_Memory_MB,Phase2_Memory_MB,Phase3_Memory_MB,Patterns_Found
Chess,300,0.7,onlyClosure,5,3769,1,2,3,873.31,885.61,16.00,48.94,620.37,300
Chess,300,0.7,onlySupport,1,8947,1,2,3,869.33,881.63,20.00,44.24,637.08,300
Chess,300,0.7,onlySupport,2,8933,1,2,3,866.61,878.92,24.00,44.34,638.28,300
Chess,300,0.7,onlySupport,3,9007,1,2,3,867.91,880.21,24.00,44.31,631.60,300
Chess,300,0.7,onlySupport,4,9031,1,2,3,869.32,881.62,24.00,44.33,636.99,300
Chess,300,0.7,onlySupport,5,9087,1,2,3,863.98,876.29,20.00,48.45,635.53,300
Chess,400,0.7,default,1,11666,1,2,3,938.00,950.29,16.00,388.00,434.00,400
Chess,400,0.7,default,2,11639,1,2,3,937.36,949.66,16.00,388.00,433.36,400
Chess,400,0.7,default,3,11629,1,2,3,937.35,949.64,16.00,388.00,433.35,400
Chess,400,0.7,default,4,11599,1,2,3,940.00,952.29,16.00,388.00,436.00,400
Chess,400,0.7,default,5,11965,1,2,3,936.00,948.29,16.00,388.00,432.00,400
Chess,400,0.7,onlyPhase1,1,11549,1,2,3,934.71,947.01,24.00,38.29,780.43,400
Chess,400,0.7,onlyPhase1,2,11503,1,2,3,938.65,950.95,24.00,36.81,785.84,400
Chess,400,0.7,onlyPhase1,3,11577,1,2,3,933.35,945.65,24.00,36.99,780.36,400
Chess,400,0.7,onlyPhase1,4,11592,1,2,3,933.35,945.64,24.00,37.06,780.29,400
Chess,400,0.7,onlyPhase1,5,11588,1,2,3,933.34,945.64,24.00,36.89,780.46,400
Chess,400,0.7,onlyClosure,1,4357,1,2,3,929.33,941.62,16.00,48.64,804.69,400
Chess,400,0.7,onlyClosure,2,4277,1,2,3,925.35,937.64,16.00,52.39,804.95,400
Chess,400,0.7,onlyClosure,3,4328,1,2,3,927.33,939.63,16.00,44.94,810.39,400
Chess,400,0.7,onlyClosure,4,4240,1,2,3,935.33,947.63,16.00,49.37,813.96,400
Chess,400,0.7,onlyClosure,5,4191,1,2,3,927.33,939.62,16.00,49.06,814.26,400
Chess,400,0.7,onlySupport,1,11762,1,2,3,989.33,1001.64,24.00,45.48,539.85,400
Chess,400,0.7,onlySupport,2,11298,1,2,3,981.32,993.62,24.00,44.79,532.53,400
Chess,400,0.7,onlySupport,3,11331,1,2,3,985.36,997.67,24.00,44.98,528.38,400
Chess,400,0.7,onlySupport,4,10581,1,2,3,988.00,1000.30,20.00,48.41,531.59,400
Chess,400,0.7,onlySupport,5,10088,1,2,3,981.33,993.63,20.00,44.63,528.70,400
Chess,500,0.7,default,1,12313,1,2,3,1041.38,1053.67,16.00,388.00,409.38,500
Chess,500,0.7,default,2,12391,1,2,3,1037.35,1049.65,16.00,388.00,413.35,500
Chess,500,0.7,default,3,12317,1,2,3,1046.71,1059.00,16.00,388.00,406.71,500
Chess,500,0.7,default,4,12391,1,2,3,1041.36,1053.66,16.00,388.00,409.36,500
Chess,500,0.7,default,5,12342,1,2,3,1048.00,1060.29,16.00,388.00,408.00,500
Chess,500,0.7,onlyPhase1,1,12440,1,2,3,1037.35,1049.64,24.00,36.50,776.85,500
Chess,500,0.7,onlyPhase1,2,12458,1,2,3,1030.71,1043.00,28.00,36.38,766.33,500
Chess,500,0.7,onlyPhase1,3,12343,1,2,3,1046.70,1058.99,24.00,36.76,757.94,500
Chess,500,0.7,onlyPhase1,4,12320,1,2,3,1041.35,1053.65,24.00,36.77,760.58,500
Chess,500,0.7,onlyPhase1,5,12212,1,2,3,1052.00,1064.29,24.00,36.70,759.30,500
Chess,500,0.7,onlyClosure,1,4522,1,2,3,996.00,1008.29,16.00,45.03,842.97,500
Chess,500,0.7,onlyClosure,2,4537,1,2,3,1006.68,1018.98,16.00,49.32,821.36,500
Chess,500,0.7,onlyClosure,3,4486,1,2,3,994.69,1006.98,16.00,49.28,821.41,500
Chess,500,0.7,onlyClosure,4,4585,1,2,3,1001.33,1013.62,16.00,44.82,824.51,500
Chess,500,0.7,onlyClosure,5,4581,1,2,3,993.35,1005.65,16.00,48.66,828.69,500
Chess,500,0.7,onlySupport,1,10694,1,2,3,982.69,994.99,24.00,44.94,877.75,500
Chess,500,0.7,onlySupport,2,10725,1,2,3,985.33,997.64,24.00,41.06,888.28,500
Chess,500,0.7,onlySupport,3,10674,1,2,3,984.00,996.30,20.00,48.14,887.86,500
Chess,500,0.7,onlySupport,4,10700,1,2,3,987.99,1000.29,24.00,44.33,887.66,500
Chess,500,0.7,onlySupport,5,10680,1,2,3,986.69,999.00,20.00,44.77,893.92,500
