Dataset,K,Tau,ParallelMode,RunNumber,ExecutionTime_ms,Phase1_ms,Phase2_ms,Phase3_ms,Memory_MB,Peak_Memory_MB,Phase1_Memory_MB,Phase2_Memory_MB,Phase3_Memory_MB,Patterns_Found
Retail,300,0.7,onlyClosure,5,5340,1,2,3,531.57,638.97,176.00,126.16,68.00,300
Retail,300,0.7,onlySupport,1,4813,1,2,3,508.00,615.41,188.00,12.00,68.00,300
Retail,300,0.7,onlySupport,2,4868,1,2,3,508.53,615.94,188.00,12.53,64.00,300
Retail,300,0.7,onlySupport,3,4727,1,2,3,508.00,615.41,184.00,16.00,68.00,300
Retail,300,0.7,onlySupport,4,4796,1,2,3,509.62,617.25,184.00,17.62,64.00,300
Retail,300,0.7,onlySupport,5,4724,1,2,3,508.00,615.41,188.00,12.00,68.00,300
Retail,400,0.7,default,1,6451,1,2,3,509.60,617.00,176.00,165.60,108.00,400
Retail,400,0.7,default,2,6468,1,2,3,512.00,619.40,176.00,168.00,108.00,400
Retail,400,0.7,default,3,6527,1,2,3,510.65,618.09,176.00,166.65,108.00,400
Retail,400,0.7,default,4,6532,1,2,3,510.13,617.53,176.00,166.13,108.00,400
Retail,400,0.7,default,5,6489,1,2,3,510.66,618.06,176.00,162.66,112.00,400
Retail,400,0.7,onlyPhase1,1,6639,1,2,3,604.00,711.40,184.00,162.12,150.12,400
Retail,400,0.7,onlyPhase1,2,6732,1,2,3,603.67,711.07,184.00,164.53,148.86,400
Retail,400,0.7,onlyPhase1,3,6683,1,2,3,603.69,711.09,184.00,164.53,148.84,400
Retail,400,0.7,onlyPhase1,4,6428,1,2,3,600.00,707.40,184.00,160.00,152.00,400
Retail,400,0.7,onlyPhase1,5,6403,1,2,3,601.84,709.24,184.00,164.00,150.16,400
Retail,400,0.7,onlyClosure,1,6580,1,2,3,602.00,709.40,176.00,297.82,171.82,400
Retail,400,0.7,onlyClosure,2,6665,1,2,3,575.17,682.57,176.00,123.17,112.00,400
Retail,400,0.7,onlyClosure,3,6549,1,2,3,575.16,682.56,176.00,119.16,108.00,400
Retail,400,0.7,onlyClosure,4,6542,1,2,3,575.17,682.63,176.00,127.17,112.00,400
Retail,400,0.7,onlyClosure,5,6585,1,2,3,602.13,709.53,176.00,298.28,172.15,400
Retail,400,0.7,onlySupport,1,6224,1,2,3,600.00,707.41,184.00,167.71,147.71,400
Retail,400,0.7,onlySupport,2,6206,1,2,3,603.71,711.12,188.00,161.06,145.36,400
Retail,400,0.7,onlySupport,3,6081,1,2,3,603.66,711.12,184.00,169.06,149.40,400
Retail,400,0.7,onlySupport,4,6273,1,2,3,603.66,711.14,184.00,168.00,144.34,400
Retail,400,0.7,onlySupport,5,6200,1,2,3,601.83,709.24,188.00,163.70,149.88,400
Retail,500,0.7,default,1,7887,1,2,3,642.00,749.40,176.00,102.00,164.00,500
Retail,500,0.7,default,2,8001,1,2,3,642.00,749.40,176.00,102.00,164.00,500
Retail,500,0.7,default,3,7931,1,2,3,639.91,747.31,176.00,99.91,164.00,500
Retail,500,0.7,default,4,8053,1,2,3,639.92,747.32,176.00,99.92,164.00,500
Retail,500,0.7,default,5,8150,1,2,3,639.92,747.32,176.00,99.92,164.00,500
Retail,500,0.7,onlyPhase1,1,7879,1,2,3,636.00,743.40,184.00,96.00,164.00,500
Retail,500,0.7,onlyPhase1,2,8117,1,2,3,636.00,743.40,184.00,96.00,164.00,500
Retail,500,0.7,onlyPhase1,3,8125,1,2,3,635.69,743.26,184.00,99.69,160.00,500
Retail,500,0.7,onlyPhase1,4,7909,1,2,3,638.00,745.45,184.00,98.00,164.00,500
Retail,500,0.7,onlyPhase1,5,7905,1,2,3,637.83,745.24,184.00,101.83,160.00,500
Retail,500,0.7,onlyClosure,1,7885,1,2,3,647.97,755.37,176.00,151.97,164.00,500
Retail,500,0.7,onlyClosure,2,7947,1,2,3,648.00,755.44,176.00,148.00,168.00,500
Retail,500,0.7,onlyClosure,3,8029,1,2,3,643.97,751.37,176.00,147.97,164.00,500
Retail,500,0.7,onlyClosure,4,7898,1,2,3,648.00,755.40,176.00,148.00,164.00,500
Retail,500,0.7,onlyClosure,5,7942,1,2,3,649.98,757.38,180.00,149.98,164.00,500
Retail,500,0.7,onlySupport,1,7686,1,2,3,636.00,743.41,184.00,104.00,160.00,500
Retail,500,0.7,onlySupport,2,7607,1,2,3,636.00,743.42,188.00,96.00,164.00,500
Retail,500,0.7,onlySupport,3,7620,1,2,3,636.00,743.47,184.00,104.00,160.00,500
Retail,500,0.7,onlySupport,4,7658,1,2,3,634.00,741.41,188.00,98.00,160.00,500
Retail,500,0.7,onlySupport,5,7528,1,2,3,636.00,743.41,184.00,104.00,164.00,500
