Dataset,K,Tau,ParallelMode,RunNumber,ExecutionTime_ms,Phase1_ms,Phase2_ms,Phase3_ms,Memory_MB,Peak_Memory_MB,Phase1_Memory_MB,Phase2_Memory_MB,Phase3_Memory_MB,Patterns_Found
Pumsb,15,0.7,onlyClosure,3,121517,1,2,3,600.64,943.91,244.00,244.64,0.00,15
Pumsb,15,0.7,onlyClosure,4,120777,1,2,3,600.80,943.93,244.00,248.80,0.00,15
Pumsb,15,0.7,onlyClosure,5,121485,1,2,3,605.42,948.57,244.00,241.42,0.00,15
Pumsb,15,0.7,onlySupport,1,94733,1,2,3,608.95,952.15,256.00,228.95,0.00,15
Pumsb,15,0.7,onlySupport,2,95233,1,2,3,604.64,948.11,256.00,232.64,0.00,15
Pumsb,15,0.7,onlySupport,3,95479,1,2,3,610.07,953.27,260.00,230.07,0.00,15
Pumsb,15,0.7,onlySupport,4,94816,1,2,3,604.32,947.44,256.00,232.32,0.00,15
Pumsb,15,0.7,onlySupport,5,96155,1,2,3,613.77,956.94,260.00,221.77,0.00,15
Pumsb,20,0.7,default,1,181625,1,2,3,727.28,1070.74,244.00,383.28,0.00,20
Pumsb,20,0.7,default,2,181992,1,2,3,731.88,1075.18,244.00,375.84,0.00,20
Pumsb,20,0.7,default,3,182746,1,2,3,751.32,1094.44,243.78,376.87,0.00,20
Pumsb,20,0.7,default,4,181312,1,2,3,732.00,1075.23,244.00,376.00,0.00,20
Pumsb,20,0.7,default,5,184438,1,2,3,771.61,1115.07,244.00,60.72,0.00,20
Pumsb,20,0.7,onlyPhase1,1,174686,1,2,3,709.26,1052.58,250.54,394.65,0.00,20
Pumsb,20,0.7,onlyPhase1,2,173993,1,2,3,755.26,1098.49,248.00,7.26,0.00,20
Pumsb,20,0.7,onlyPhase1,3,184683,1,2,3,709.44,1052.55,248.00,410.68,0.00,20
Pumsb,20,0.7,onlyPhase1,4,174126,1,2,3,713.24,1056.36,248.00,397.24,0.00,20
Pumsb,20,0.7,onlyPhase1,5,175498,1,2,3,709.26,1052.56,253.26,395.86,0.00,20
Pumsb,20,0.7,onlyClosure,1,184093,1,2,3,732.00,1075.17,244.00,406.60,0.00,20
Pumsb,20,0.7,onlyClosure,2,183144,1,2,3,736.00,1079.12,243.72,396.24,0.00,20
Pumsb,20,0.7,onlyClosure,3,186818,1,2,3,771.23,1114.53,243.78,37.66,0.00,20
Pumsb,20,0.7,onlyClosure,4,183141,1,2,3,727.74,1070.86,244.00,390.34,0.00,20
Pumsb,20,0.7,onlyClosure,5,183290,1,2,3,727.79,1071.20,243.81,407.83,0.00,20
Pumsb,20,0.7,onlySupport,1,144778,1,2,3,742.58,1085.71,256.00,385.21,0.00,20
Pumsb,20,0.7,onlySupport,2,143734,1,2,3,747.33,1090.46,259.80,372.84,0.00,20
Pumsb,20,0.7,onlySupport,3,143443,1,2,3,736.00,1079.26,263.78,382.83,0.00,20
Pumsb,20,0.7,onlySupport,4,143896,1,2,3,738.00,1081.49,260.00,391.28,0.00,20
Pumsb,20,0.7,onlySupport,5,144285,1,2,3,741.30,1084.63,252.00,386.62,0.00,20
Pumsb,25,0.7,default,1,250018,1,2,3,888.59,1231.99,244.00,496.59,0.00,25
Pumsb,25,0.7,default,2,249989,1,2,3,861.10,1204.21,244.00,510.44,0.00,25
Pumsb,25,0.7,default,3,250564,1,2,3,865.08,1208.22,244.00,457.08,0.00,25
